schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_score_home,pr_score_away,in_div,in_conf,schedule_playoff
12/12/2021,2021,14,LAC,,,NYG,,,False,False,False
12/12/2021,2021,14,TB,,,BUF,,,False,False,False
12/12/2021,2021,14,GB,,,CHI,,,True,True,False
12/13/2021,2021,14,ARI,,,LAR,,,True,True,False
12/16/2021,2021,15,LAC,,,KC,,,True,True,False
12/19/2021,2021,15,BUF,,,CAR,,,False,False,False
12/19/2021,2021,15,CLE,,,LVR,,,False,True,False
12/19/2021,2021,15,IND,,,NE,,,False,True,False
12/19/2021,2021,15,DET,,,ARI,,,False,True,False
12/19/2021,2021,15,JAX,,,HOU,,,True,True,False
12/19/2021,2021,15,MIA,,,NYJ,,,True,True,False
12/19/2021,2021,15,NYG,,,DAL,,,True,True,False
12/19/2021,2021,15,PHI,,,WAS,,,True,True,False
12/19/2021,2021,15,PIT,,,TEN,,,False,True,False
12/19/2021,2021,15,BAL,,,GB,,,False,False,False
12/19/2021,2021,15,DEN,,,CIN,,,False,True,False
12/19/2021,2021,15,SF,,,ATL,,,False,True,False
12/19/2021,2021,15,LAR,,,SEA,,,True,True,False
12/19/2021,2021,15,TB,,,NO,,,True,True,False
12/20/2021,2021,15,CHI,,,MIN,,,True,True,False
12/23/2021,2021,16,TEN,,,SF,,,False,False,False
12/25/2021,2021,16,GB,,,CLE,,,False,False,False
12/25/2021,2021,16,ARI,,,IND,,,False,False,False
12/26/2021,2021,16,ATL,,,DET,,,False,True,False
12/26/2021,2021,16,CAR,,,TB,,,True,True,False
12/26/2021,2021,16,CIN,,,BAL,,,True,True,False
12/26/2021,2021,16,HOU,,,LAC,,,False,True,False
12/26/2021,2021,16,MIN,,,LAR,,,False,True,False
12/26/2021,2021,16,NE,,,BUF,,,True,True,False
12/26/2021,2021,16,NYJ,,,JAX,,,False,True,False
12/26/2021,2021,16,PHI,,,NYG,,,True,True,False
12/26/2021,2021,16,SEA,,,CHI,,,False,True,False
12/26/2021,2021,16,KC,,,PIT,,,False,True,False
12/26/2021,2021,16,LVR,,,DEN,,,True,True,False
12/26/2021,2021,16,DAL,,,WAS,,,True,True,False
12/27/2021,2021,16,NO,,,MIA,,,False,False,False
1/2/2022,2021,17,BUF,,,ATL,,,False,False,False
1/2/2022,2021,17,CHI,,,NYG,,,False,True,False
1/2/2022,2021,17,CIN,,,KC,,,False,True,False
1/2/2022,2021,17,IND,,,LVR,,,False,True,False
1/2/2022,2021,17,DAL,,,ARI,,,False,True,False
1/2/2022,2021,17,NO,,,CAR,,,True,True,False
1/2/2022,2021,17,NE,,,JAX,,,False,True,False
1/2/2022,2021,17,NYJ,,,TB,,,False,False,False
1/2/2022,2021,17,TEN,,,MIA,,,False,True,False
1/2/2022,2021,17,WAS,,,PHI,,,True,True,False
1/2/2022,2021,17,LAC,,,DEN,,,True,True,False
1/2/2022,2021,17,SF,,,HOU,,,False,False,False
1/2/2022,2021,17,BAL,,,LAR,,,False,False,False
1/2/2022,2021,17,SEA,,,DET,,,False,True,False
1/2/2022,2021,17,GB,,,MIN,,,True,True,False
1/3/2022,2021,17,PIT,,,CLE,,,True,True,False
1/9/2022,2021,18,ATL,,,NO,,,True,True,False
1/9/2022,2021,18,BUF,,,NYJ,,,True,True,False
1/9/2022,2021,18,CLE,,,CIN,,,True,True,False
1/9/2022,2021,18,DET,,,GB,,,True,True,False
1/9/2022,2021,18,HOU,,,TEN,,,True,True,False
1/9/2022,2021,18,JAX,,,IND,,,True,True,False
1/9/2022,2021,18,MIA,,,NE,,,True,True,False
1/9/2022,2021,18,MIN,,,CHI,,,True,True,False
1/9/2022,2021,18,NYG,,,WAS,,,True,True,False
1/9/2022,2021,18,PHI,,,DAL,,,True,True,False
1/9/2022,2021,18,BAL,,,PIT,,,True,True,False
1/9/2022,2021,18,TB,,,CAR,,,True,True,False
1/9/2022,2021,18,ARI,,,SEA,,,True,True,False
1/9/2022,2021,18,DEN,,,KC,,,True,True,False
1/9/2022,2021,18,LVR,,,LAC,,,True,True,False
1/9/2022,2021,18,LAR,,,SF,,,True,True,False
