season,week,gameday,away_team,away_score,home_team,home_score,div_game,conf_game
2023,12,11/26/23,NO,,ATL,,1,TRUE
2023,12,11/26/23,PIT,,CIN,,1,TRUE
2023,12,11/26/23,JAX,0,HOU,100,1,TRUE
2023,12,11/26/23,TB,,IND,,0,FALSE
2023,12,11/26/23,NE,,NYG,,0,FALSE
2023,12,11/26/23,CAR,,TEN,,0,FALSE
2023,12,11/26/23,LA,,ARI,,1,TRUE
2023,12,11/26/23,CLE,,DEN,,0,TRUE
2023,12,11/26/23,KC,,LV,,1,TRUE
2023,12,11/26/23,BUF,,PHI,,0,FALSE
2023,12,11/26/23,BAL,,LAC,,0,TRUE
2023,12,11/27/23,CHI,,MIN,,1,TRUE
2023,13,11/30/23,SEA,,DAL,,0,TRUE
2023,13,12/3/23,LAC,,NE,,0,TRUE
2023,13,12/3/23,DET,,NO,,0,TRUE
2023,13,12/3/23,ATL,,NYJ,,0,FALSE
2023,13,12/3/23,ARI,,PIT,,0,FALSE
2023,13,12/3/23,CAR,,TB,,1,TRUE
2023,13,12/3/23,IND,,TEN,,1,TRUE
2023,13,12/3/23,MIA,,WAS,,0,FALSE
2023,13,12/3/23,DEN,,HOU,,0,TRUE
2023,13,12/3/23,CLE,,LA,,0,FALSE
2023,13,12/3/23,SF,,PHI,,0,TRUE
2023,13,12/3/23,KC,,GB,,0,FALSE
2023,13,12/4/23,CIN,,JAX,,0,TRUE
2023,14,12/7/23,NE,,PIT,,0,TRUE
2023,14,12/10/23,TB,,ATL,,1,TRUE
2023,14,12/10/23,LA,,BAL,,0,FALSE
2023,14,12/10/23,DET,,CHI,,1,TRUE
2023,14,12/10/23,IND,,CIN,,0,TRUE
2023,14,12/10/23,JAX,,CLE,,0,TRUE
2023,14,12/10/23,CAR,,NO,,1,TRUE
2023,14,12/10/23,HOU,,NYJ,,0,TRUE
2023,14,12/10/23,MIN,,LV,,0,FALSE
2023,14,12/10/23,SEA,,SF,,1,TRUE
2023,14,12/10/23,BUF,,KC,,0,TRUE
2023,14,12/10/23,DEN,,LAC,,1,TRUE
2023,14,12/10/23,PHI,,DAL,,1,TRUE
2023,14,12/11/23,TEN,,MIA,,0,TRUE
2023,14,12/11/23,GB,,NYG,,0,TRUE
2023,15,12/14/23,LAC,,LV,,1,TRUE
2023,15,12/17/23,ATL,,CAR,,1,TRUE
2023,15,12/17/23,MIN,,CIN,,0,FALSE
2023,15,12/17/23,CHI,,CLE,,0,FALSE
2023,15,12/17/23,DEN,,DET,,0,FALSE
2023,15,12/17/23,TB,,GB,,0,TRUE
2023,15,12/17/23,PIT,,IND,,0,TRUE
2023,15,12/17/23,NYJ,,MIA,,1,TRUE
2023,15,12/17/23,NYG,,NO,,0,TRUE
2023,15,12/17/23,HOU,,TEN,,1,TRUE
2023,15,12/17/23,SF,,ARI,,1,TRUE
2023,15,12/17/23,WAS,,LA,,0,TRUE
2023,15,12/17/23,DAL,,BUF,,0,FALSE
2023,15,12/17/23,PHI,,SEA,,0,TRUE
2023,15,12/17/23,BAL,,JAX,,0,TRUE
2023,15,12/18/23,KC,,NE,,0,TRUE
